Название,Специальность
ИЛБО-85-20,Графический дизайн и мультимедиа
ИЛБО-03-22,Интернет вещей (IoT) и умные технологии
ИЛБО-05-21,Аналитика данных в бизнесе и финансах
ИВБО-47-21,Разработка робототехнических систем и искусственный интеллект
ИМБО-80-20,Разработка игр и виртуальной реальности
ИКБО-28-23,Безопасность информационных систем и киберзащита
ИНБО-49-22,Безопасность информационных систем и киберзащита
ИКБО-07-23,Программирование и разработка на языке Java
ИМБО-76-22,Анализ данных и машинное обучение
ИЛБО-96-20,Анализ данных и машинное обучение
ИКБО-47-22,Блокчейн и криптовалюты: технологии и применения
ИВБО-91-20,Цифровая трансформация и стратегии бизнеса
ИЭБО-01-20,Веб-разработка и интерфейсный дизайн
ИКБО-53-20,Сетевые технологии и администрирование сетей
ИЭБО-46-23,Разработка игр и виртуальной реальности
ИНБО-50-22,Разработка приложений для здравоохранения и медицины
ИЭБО-45-21,Разработка мобильных приложений и IoT
ИВБО-71-20,Автоматизация тестирования и DevOps
ИНБО-15-23,Разработка робототехнических систем и искусственный интеллект
ИВБО-40-21,Анализ больших данных и облачные вычисления
ИМБО-67-22,Разработка мобильных приложений и IoT
ИКБО-47-21,Разработка робототехнических систем и искусственный интеллект
ИЭБО-35-22,Графический дизайн и мультимедиа
ИВБО-14-21,Базы данных и архитектура информационных систем
ИНБО-13-22,Автоматизация тестирования и DevOps
ИЛБО-82-22,Сетевые технологии и администрирование сетей
ИЭБО-02-22,Автоматизация тестирования и DevOps
ИЛБО-89-20,Разработка робототехнических систем и искусственный интеллект
ИВБО-93-20,Информационные технологии и разработка программного обеспечения
ИВБО-63-23,Графический дизайн и мультимедиа
ИКБО-79-23,Веб-разработка и интерфейсный дизайн
ИМБО-61-20,Автоматизация тестирования и DevOps
ИЛБО-87-23,Анализ больших данных и облачные вычисления
ИКБО-99-20,Анализ данных и машинное обучение
ИМБО-82-20,Блокчейн и криптовалюты: технологии и применения
ИНБО-16-23,Программирование и разработка на языке Java
ИМБО-22-21,Анализ больших данных и облачные вычисления
ИЭБО-25-21,Безопасность информационных систем и киберзащита
ИЛБО-33-21,Аналитика данных в бизнесе и финансах
ИЛБО-37-20,Графический дизайн и мультимедиа
ИВБО-19-20,Электронная коммерция и цифровой маркетинг
ИКБО-40-20,Разработка приложений для здравоохранения и медицины
ИМБО-77-22,Интернет вещей (IoT) и умные технологии
ИЛБО-57-20,Базы данных и архитектура информационных систем
ИМБО-33-22,Разработка робототехнических систем и искусственный интеллект
ИКБО-90-23,Разработка мобильных приложений и IoT
ИКБО-43-21,Киберфизические системы и автоматизация процессов
ИКБО-83-21,Цифровая трансформация и стратегии бизнеса
ИМБО-15-23,Разработка приложений для здравоохранения и медицины
ИКБО-27-23,Электронная коммерция и цифровой маркетинг
ИКБО-60-23,Веб-разработка и интерфейсный дизайн
ИНБО-48-20,Блокчейн и криптовалюты: технологии и применения
ИНБО-74-23,Электронная коммерция и цифровой маркетинг
ИЛБО-23-23,Сетевые технологии и администрирование сетей
ИКБО-24-22,Автоматизация тестирования и DevOps
ИНБО-50-20,Электронная коммерция и цифровой маркетинг
ИКБО-63-23,Разработка игр и виртуальной реальности
ИМБО-54-20,Базы данных и архитектура информационных систем
ИВБО-33-20,Цифровая трансформация и стратегии бизнеса
ИНБО-03-20,Интернет вещей (IoT) и умные технологии
ИВБО-07-20,Разработка приложений для здравоохранения и медицины
ИКБО-73-21,Информационные технологии и разработка программного обеспечения
ИЭБО-39-22,Разработка мобильных приложений и IoT
ИЛБО-43-21,Электронная коммерция и цифровой маркетинг
ИМБО-65-21,Разработка приложений для здравоохранения и медицины
ИНБО-56-23,Безопасность информационных систем и киберзащита
ИВБО-40-22,Электронная коммерция и цифровой маркетинг
ИВБО-89-20,Анализ данных и машинное обучение
ИКБО-70-21,Базы данных и архитектура информационных систем
ИЭБО-68-23,Цифровая трансформация и стратегии бизнеса
ИЭБО-47-21,Интернет вещей (IoT) и умные технологии
ИЛБО-99-20,Базы данных и архитектура информационных систем
ИНБО-73-22,Разработка приложений для здравоохранения и медицины
ИВБО-77-23,Безопасность информационных систем и киберзащита
ИКБО-46-20,Безопасность информационных систем и киберзащита
ИМБО-27-22,Сетевые технологии и администрирование сетей
ИМБО-22-20,Киберфизические системы и автоматизация процессов
ИЭБО-98-22,Разработка игр и виртуальной реальности
ИВБО-72-22,Информационные технологии и разработка программного обеспечения
ИКБО-38-20,Веб-разработка и интерфейсный дизайн
ИЭБО-62-22,Программирование и разработка на языке Java
ИВБО-80-21,Разработка приложений для здравоохранения и медицины
ИЛБО-17-20,Базы данных и архитектура информационных систем
ИКБО-69-23,Анализ больших данных и облачные вычисления
ИМБО-26-22,Разработка приложений для здравоохранения и медицины
ИНБО-23-20,Аналитика данных в бизнесе и финансах
ИКБО-93-20,Анализ данных и машинное обучение
ИНБО-07-21,Безопасность информационных систем и киберзащита
ИМБО-25-20,Информационные технологии и разработка программного обеспечения
ИЛБО-96-23,Разработка мобильных приложений и IoT
ИВБО-01-21,Сетевые технологии и администрирование сетей
ИЛБО-55-21,Цифровая трансформация и стратегии бизнеса
ИЛБО-07-21,Автоматизация тестирования и DevOps
ИМБО-02-23,Графический дизайн и мультимедиа
ИНБО-77-23,Разработка приложений для здравоохранения и медицины
ИКБО-39-22,Разработка игр и виртуальной реальности
ИВБО-65-23,Информационные технологии и разработка программного обеспечения
ИВБО-11-23,Аналитика данных в бизнесе и финансах
ИМБО-93-21,Киберфизические системы и автоматизация процессов
ИНБО-11-21,Программирование и разработка на языке Java
ИКБО-75-20,Сетевые технологии и администрирование сетей
ИНБО-57-23,Информационные технологии и разработка программного обеспечения
ИКБО-12-22,Анализ данных и машинное обучение
ИНБО-57-20,Графический дизайн и мультимедиа
ИВБО-25-20,Разработка приложений для здравоохранения и медицины
ИЛБО-55-23,Цифровая трансформация и стратегии бизнеса
ИЭБО-53-21,Разработка приложений для здравоохранения и медицины
ИКБО-70-20,Электронная коммерция и цифровой маркетинг
ИЛБО-98-22,Блокчейн и криптовалюты: технологии и применения
ИКБО-48-21,Программирование и разработка на языке Java
ИВБО-93-23,Разработка мобильных приложений и IoT
ИКБО-23-22,Разработка мобильных приложений и IoT
ИМБО-28-21,Программирование и разработка на языке Java
ИКБО-49-20,Аналитика данных в бизнесе и финансах
ИЛБО-74-21,Автоматизация тестирования и DevOps
ИНБО-83-20,Сетевые технологии и администрирование сетей
ИМБО-98-23,Цифровая трансформация и стратегии бизнеса
ИКБО-65-22,Программирование и разработка на языке Java
ИВБО-10-22,Автоматизация тестирования и DevOps
ИМБО-91-23,Анализ данных и машинное обучение
ИНБО-03-23,Киберфизические системы и автоматизация процессов
ИМБО-27-23,Веб-разработка и интерфейсный дизайн
ИКБО-12-20,Программирование и разработка на языке Java
ИЛБО-89-23,Безопасность информационных систем и киберзащита
ИЭБО-79-21,Сетевые технологии и администрирование сетей
ИЭБО-40-22,Автоматизация тестирования и DevOps
ИКБО-60-22,Разработка игр и виртуальной реальности
ИВБО-07-23,Разработка мобильных приложений и IoT
ИЛБО-86-21,Базы данных и архитектура информационных систем
ИМБО-97-21,Разработка игр и виртуальной реальности
ИЭБО-16-23,Блокчейн и криптовалюты: технологии и применения
ИНБО-87-21,Аналитика данных в бизнесе и финансах
ИНБО-82-23,Сетевые технологии и администрирование сетей
ИВБО-33-22,Цифровая трансформация и стратегии бизнеса
ИНБО-69-20,Базы данных и архитектура информационных систем
ИВБО-61-21,Разработка мобильных приложений и IoT
ИЭБО-95-22,Анализ данных и машинное обучение
ИКБО-83-22,Интернет вещей (IoT) и умные технологии
ИВБО-60-23,Программирование и разработка на языке Java
ИВБО-59-23,Блокчейн и криптовалюты: технологии и применения
ИНБО-99-23,Анализ данных и машинное обучение
ИЭБО-02-21,Цифровая трансформация и стратегии бизнеса
ИЭБО-93-20,Графический дизайн и мультимедиа
ИВБО-87-21,Разработка мобильных приложений и IoT
ИЭБО-25-23,Электронная коммерция и цифровой маркетинг
ИЭБО-35-21,Блокчейн и криптовалюты: технологии и применения
ИМБО-40-21,Интернет вещей (IoT) и умные технологии
ИВБО-03-23,Цифровая трансформация и стратегии бизнеса
ИМБО-38-20,Электронная коммерция и цифровой маркетинг
ИЛБО-92-23,Безопасность информационных систем и киберзащита
ИКБО-07-22,Разработка робототехнических систем и искусственный интеллект
ИЛБО-82-23,Сетевые технологии и администрирование сетей
ИВБО-99-20,Электронная коммерция и цифровой маркетинг
ИЛБО-30-22,Безопасность информационных систем и киберзащита
ИКБО-24-23,Веб-разработка и интерфейсный дизайн
ИНБО-91-23,Разработка приложений для здравоохранения и медицины
ИЭБО-55-20,Графический дизайн и мультимедиа
ИВБО-74-22,Анализ больших данных и облачные вычисления
ИЭБО-74-22,Анализ данных и машинное обучение
ИМБО-68-23,Базы данных и архитектура информационных систем
ИЛБО-49-21,Анализ данных и машинное обучение
ИНБО-78-23,Киберфизические системы и автоматизация процессов
ИКБО-22-20,Автоматизация тестирования и DevOps
ИЛБО-35-21,Киберфизические системы и автоматизация процессов
ИМБО-81-22,Аналитика данных в бизнесе и финансах
ИМБО-75-22,Разработка игр и виртуальной реальности
ИНБО-15-21,Программирование и разработка на языке Java
ИЛБО-83-22,Разработка мобильных приложений и IoT
ИЭБО-50-23,Цифровая трансформация и стратегии бизнеса
ИНБО-53-23,Киберфизические системы и автоматизация процессов
ИЛБО-93-23,Графический дизайн и мультимедиа
ИКБО-94-22,Веб-разработка и интерфейсный дизайн
ИМБО-53-21,Программирование и разработка на языке Java
ИНБО-65-21,Аналитика данных в бизнесе и финансах
ИЭБО-39-23,Автоматизация тестирования и DevOps
ИНБО-87-20,Программирование и разработка на языке Java
